,,,Mg/Ca,StDev,,RelStDev
22436,16128,8132,0.032656,0.003442,16128,0.105401763841254
22479,16227,8129,0.034511,0.014959,16227,0.43345599953638
22522,16326,8125,0.03581,0.012324,16326,0.344149678860653
22558,16422,8122,0.038926,0.009996,16422,0.256794944253198
22593,16518,8119,0.04397,0.010446,16518,0.237571071184899
22629,16614,8116,0.047193,0.014678,16614,0.311020702222787
22665,16710,8113,0.04586,0.011286,16710,0.246096816397732
22700,16806,8110,0.032494,0.005001,16806,0.153905336369791
22736,16901,8107,0.044716,0.004437,16901,0.0992262277484569
22772,16997,8104,0.052675,0.007107,16997,0.134921689606075
22808,17093,8101,0.039343,0.005556,17093,0.14121953079328
22843,17189,8098,0.032556,0.005179,17189,0.15907973952574
22879,17285,8095,0.051769,0.009394,17285,0.181459947072572
22901,17390,8092,0.044712,0.006692,17390,0.149668992664162
22923,17496,8089,0.057136,0.005302,17496,0.0927961355362644
22945,17601,8085,0.054822,0.007838,17601,0.142971799642479
22967,17706,8082,0.049498,0.010381,17706,0.209725645480625
22989,17812,8079,0.063512,0.015741,17812,0.247842927320821
23011,17917,8075,0.051683,0.011625,17917,0.224928893446588
23033,18023,8072,0.072594,0.015538,18023,0.214039727801196
23055,18128,8069,0.07676,0.008935,18128,0.116401771756123
23077,18233,8065,0.067739,0.004981,18233,0.073532234015855
23099,18339,8062,0.080125,0.018753,18339,0.234046801872075
23121,18444,8059,0.051779,0.009994,18444,0.193012611290291
23139,18548,8055,0.052819,0.012322,18548,0.233287264052708
23157,18651,8052,0.04311,0.005503,18651,0.12765019717003
23176,18755,8049,0.067982,0.02075,18755,0.305227854432056
23194,18859,8045,0.054536,0.011107,18859,0.203663635030072
23212,18962,8042,0.125423,0.036424,18962,0.290409255080807
23230,19066,8039,0.174984,0.055268,19066,0.315846020207562
23248,19169,8036,0.071291,0.050027,19169,0.701729531076854
23266,19273,8032,0.090237,0.033476,19273,0.370978645123397
23285,19377,8029,0.056171,0.027944,19377,0.497480906517598
23303,19480,8026,0.069594,0.00924,19480,0.132770066385033
23321,19584,8022,0.08802,0.032115,19584,0.364860259032038
23321,19685,8019,0.10744,0.038119,19685,0.354793373045421
23321,19786,8016,0.059231,0.011675,19786,0.197109621650825
23321,19887,8013,0.062498,0.028413,19887,0.454622547921534
23321,19988,8010,0.048985,0.011014,19988,0.224844340104114
23321,20089,8006,0.039049,0.00637,20089,0.163128377167149
23321,20190,8003,0.045707,0.005877,20190,0.12857986741637
23321,20291,8000,0.043935,0.011249,20291,0.256037327870718
23321,20392,7997,0.037203,0.004575,20392,0.12297395371341
23321,20493,7993,0.056799,0.012757,20493,0.224599024630715
23321,20594,7990,0.077799,0.010885,20594,0.139911824059435
23321,20695,7987,0.084339,0.012612,20695,0.149539359015402
23343,20803,7984,0.072786,0.01271,20803,0.174621493144286
23365,20912,7980,0.075003,0.009573,20912,0.127634894604216
23388,21020,7977,0.087291,0.028002,21020,0.320789084785373
23410,21128,7973,0.087398,0.019619,21128,0.224478821025653
23432,21237,7970,0.102743,0.039973,21237,0.38905813534742
23454,21345,7966,0.065191,0.015865,21345,0.243361813747296
23477,21453,7963,0.07629,0.00901,21453,0.118101979289553
23499,21562,7960,0.075906,0.013656,21562,0.179906726740969
23521,21670,7956,0.078779,0.010523,21670,0.133576206857157
23538,21777,7953,0.078041,0.020234,21777,0.259273971374021
23554,21883,7949,0.063836,0.019891,21883,0.311595338053763
23571,21990,7946,0.04534,0.004445,21990,0.0980370533745038
23588,22097,7943,0.033717,0.001871,22097,0.0554912951923362
23604,22203,7939,0.028018,0.001395,22203,0.0497894210864444
23621,22310,7936,0.033848,0.00735,22310,0.217147246513826
23638,22417,7932,0.030979,0.004025,22417,0.129926724555344
23654,22523,7929,0.037722,0.009095,22523,0.241105985896824
23671,22630,7926,0.041164,0.009925,22630,0.241108735788553
23688,22737,7922,0.031263,0.00916,22737,0.292998112785081
23704,22843,7919,0.031279,0.009468,22843,0.302695098948176
23721,22950,7916,0.03166,0.001744,22950,0.055085281111813
23721,23062,7912,0.035434,0.011371,23062,0.320906474008015
23721,23174,7908,0.035732,0.013106,23174,0.366786074107243
23721,23286,7905,0.040243,0.015035,23286,0.373605347513853
23721,23398,7901,0.030834,0.004575,23398,0.148375170266589
23721,23510,7898,0.038941,0.015137,23510,0.388716263064636
23721,23622,7894,0.030322,0.007578,23622,0.24991755161269
23721,23734,7891,0.035053,0.008673,23734,0.247425327361424
23641,23824,7888,0.048182,0.012056,23824,0.250217923705948
23562,23915,7885,0.075624,0.013359,23915,0.176650269755633
23482,24005,7882,0.11697,0.038507,24005,0.329204069419509
23440,24110,7878,0.289818,0.178625,24110,0.616335079256637
23398,24214,7875,0.080777,0.021547,24214,0.266746722458125
23355,24319,7872,0.14049,0.077424,24319,0.551099722400171
23313,24423,7868,0.162111,0.020944,24423,0.129195427824145
