y,x,z,mg_ca,st_dev,part,sample_mode,dist
934,-9744,11025,0.330205,0.025732,A,map,NA
885,-9684,11022,0.291919,0.034543,A,map,NA
836,-9624,11019,0.301211,0.031907,A,map,NA
788,-9564,11016,0.295021,0.055909,A,map,NA
739,-9504,11013,0.301264,0.030982,A,map,NA
690,-9445,11010,0.299319,0.017438,A,map,NA
641,-9385,11007,0.308122,0.022785,A,map,NA
593,-9324,11004,0.322195,0.01931,A,map,NA
544,-9265,11001,0.306601,0.031516,A,map,NA
1055,-9765,11028,0.343607,0.033433,A,map,NA
1003,-9703,11025,0.350784,0.010542,A,map,NA
951,-9640,11022,0.339871,0.041994,A,map,NA
900,-9578,11018,0.311988,0.017122,A,map,NA
848,-9515,11015,0.30278,0.025036,A,map,NA
797,-9453,11012,0.280803,0.03671,A,map,NA
745,-9391,11009,0.30494,0.011218,A,map,NA
693,-9328,11006,0.306542,0.007816,A,map,NA
642,-9266,11003,0.313358,0.010791,A,map,NA
590,-9203,10999,0.312668,0.004844,A,map,NA
1132,-9731,11028,0.555054,0.062927,A,map,NA
1082,-9672,11025,0.305584,0.01436,A,map,NA
1032,-9612,11022,0.349951,0.017702,A,map,NA
982,-9553,11019,0.328214,0.015531,A,map,NA
932,-9493,11016,0.310202,0.054842,A,map,NA
882,-9434,11013,0.284874,0.012202,A,map,NA
832,-9374,11010,0.315849,0.053409,A,map,NA
782,-9315,11007,0.331212,0.025395,A,map,NA
732,-9255,11004,0.308484,0.023478,A,map,NA
682,-9196,11001,0.314554,0.016849,A,map,NA
632,-9136,10998,0.301196,0.01937,A,map,NA
1204,-9692,11028,0.378559,0.034198,A,map,NA
1152,-9631,11025,0.400582,0.033497,A,map,NA
1099,-9569,11022,0.313252,0.020654,A,map,NA
1046,-9507,11019,0.334278,0.014131,A,map,NA
994,-9445,11015,0.350502,0.052386,A,map,NA
941,-9384,11012,0.390726,0.07154,A,map,NA
888,-9322,11009,0.286258,0.03008,A,map,NA
836,-9260,11006,0.34304,0.013861,A,map,NA
783,-9198,11003,0.34955,0.027761,A,map,NA
730,-9137,11000,0.33409,0.018046,A,map,NA
678,-9075,10996,0.290802,0.019032,A,map,NA
1264,-9647,11027,0.426374,0.027779,A,map,NA
1215,-9589,11024,0.302964,0.004189,A,map,NA
1165,-9531,11022,0.359141,0.027645,A,map,NA
1115,-9473,11019,0.339958,0.047188,A,map,NA
1066,-9415,11016,0.327445,0.021468,A,map,NA
