y,x,z,mg_ca,st_dev,dist,sample_mode
10050,1734,8122,0.047092,0.008162,NA,map
10123,1814,8120,0.040277,0.007406,NA,map
10196,1893,8118,0.049646,0.008398,NA,map
10277,1954,8116,0.045383,0.004177,NA,map
10359,2016,8115,0.040828,0.002929,NA,map
10440,2077,8113,0.045861,0.00764,NA,map
10521,2138,8111,0.041354,0.008732,NA,map
10602,2199,8109,0.045014,0.008712,NA,map
10684,2261,8107,0.055055,0.012784,NA,map
10765,2322,8105,0.043093,0.012089,NA,map
10846,2383,8103,0.050223,0.009589,NA,map
10927,2444,8101,0.044799,0.007511,NA,map
11009,2506,8099,0.040586,0.012265,NA,map
11090,2567,8097,0.040624,0.007805,NA,map
11172,2627,8095,0.041697,0.008049,NA,map
11253,2687,8093,0.037457,0.006961,NA,map
11335,2748,8092,0.03574,0.005867,NA,map
11416,2808,8090,0.042211,0.009631,NA,map
11498,2868,8088,0.042902,0.007087,NA,map
11580,2928,8086,0.041248,0.004669,NA,map
11661,2988,8084,0.038384,0.011604,NA,map
11743,3049,8082,0.041732,0.006585,NA,map
11824,3109,8080,0.038991,0.010579,NA,map
11906,3169,8078,0.032725,0.005669,NA,map
11976,3245,8077,0.031418,0.008974,NA,map
12046,3320,8075,0.032631,0.006209,NA,map
12116,3396,8073,0.043079,0.007297,NA,map
12186,3471,8072,0.042862,0.007567,NA,map
12256,3547,8070,0.053372,0.014602,NA,map
12325,3622,8069,0.050612,0.005966,NA,map
12395,3698,8067,0.04686,0.010052,NA,map
12465,3773,8066,0.046893,0.006383,NA,map
12535,3849,8064,0.048796,0.010658,NA,map
12605,3924,8062,0.046752,0.009571,NA,map
12675,4000,8061,0.052284,0.004499,NA,map
12722,4094,8060,0.043035,0.010684,NA,map
12768,4187,8059,0.048153,0.006439,NA,map
12815,4281,8058,0.046162,0.012979,NA,map
12862,4374,8057,0.048378,0.008062,NA,map
12908,4468,8056,0.039934,0.007258,NA,map
12955,4561,8055,0.048013,0.016262,NA,map
13002,4655,8055,0.041579,0.022488,NA,map
13048,4748,8054,0.071704,0.027481,NA,map
13095,4842,8053,0.066676,0.031901,NA,map
13148,4929,8052,0.129264,0.052159,NA,map
13200,5016,8051,0.365837,0.402286,NA,map
13253,5102,8050,0.078789,0.026105,NA,map
13306,5189,8048,0.069004,0.021905,NA,map
13358,5276,8047,0.061328,0.020494,NA,map
13411,5363,8046,0.070499,0.02023,NA,map
13464,5450,8045,0.076678,0.017108,NA,map
13516,5536,8044,0.083503,0.029978,NA,map
13569,5623,8043,0.068721,0.030175,NA,map
13622,5710,8042,0.071102,0.034631,NA,map
13675,5797,8041,0.061376,0.020786,NA,map
13727,5884,8040,0.053013,0.016346,NA,map
13780,5971,8039,0.052476,0.027887,NA,map
13833,6057,8038,0.045612,0.016457,NA,map
13885,6144,8037,0.042808,0.012669,NA,map
13938,6231,8035,0.036675,0.006358,NA,map
13981,6325,8035,0.038318,0.007414,NA,map
14023,6419,8034,0.033439,0.005737,NA,map
14066,6513,8033,0.035263,0.008842,NA,map
14109,6607,8032,0.038702,0.012096,NA,map
14151,6701,8031,0.041279,0.007268,NA,map
14194,6795,8031,0.041102,0.003021,NA,map
14237,6889,8030,0.044515,0.016053,NA,map
14279,6983,8029,0.044094,0.00976,NA,map
14322,7077,8028,0.040705,0.017946,NA,map
14361,7170,8028,0.038527,0.011439,NA,map
14401,7264,8027,0.050666,0.00948,NA,map
14440,7357,8026,0.037697,0.012276,NA,map
14480,7450,8025,0.053019,0.01547,NA,map
14519,7543,8025,0.036662,0.009526,NA,map
14558,7636,8024,0.037221,0.014825,NA,map
14598,7730,8023,0.049974,0.017045,NA,map
14637,7823,8023,0.036235,0.010848,NA,map
14677,7916,8022,0.045527,0.011164,NA,map
14716,8009,8021,0.038513,0.00774,NA,map
14756,8103,8020,0.040245,0.002197,NA,map
14795,8196,8020,0.035173,0.012595,NA,map
